economy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
LBR,71.785,71.801,71.811,71.816,71.814,71.802,71.782,71.76,71.759,71.767,71.772,71.865,71.931,71.908,71.905,71.923,71.953,71.983,72.024,72.08,71.393,71.703,71.919,71.966
LBY,30.43,30.757,31.107,31.471,31.834,32.175,32.554,32.971,33.363,33.737,34.081,34.062,33.94,34.07,34.135,34.132,34.111,34.08,34.039,33.993,31.009,31.353,33.631,33.465
LCA,52.897,53.416,54.247,55.078,55.909,56.739,57.567,58.39,59.208,60.025,60.848,61.673,64.477,63.293,63.394,63.495,63.595,63.695,63.882,64.312,49.331,60.375,62.68,62.135
LCN,47.6273355975045,48.1404914798662,48.5925922332787,49.108972331345,49.8122231239195,50.4830471381835,50.8199398997431,50.8690136732244,50.8603348771581,51.4353873796754,50.94873319087,50.5783665175557,50.9045620701882,50.7308557262385,50.4513507218182,50.8003879699869,50.9594393418127,51.2452858693284,51.5981868332282,52.0805413223399,47.9649197766993,50.3522034147235,51.1771614349536,51.24055617328
LDC,53.719052720498,53.703576204303,53.662478052632,53.5918133766031,53.5585239463042,53.517078978311,53.3580194474368,53.4980287061076,53.5948275078845,53.8884485066535,54.1765168835846,54.1399293235868,53.241465512632,53.3976482600912,52.7717789227547,52.3707867392593,52.0148950397923,52.1029480516591,52.1710919183271,52.0105982774283,51.5886278936304,51.6596721511452,51.8855071807912,53.3453595360796
LIC,58.787520976959,58.6070874654435,58.3230060621622,58.0200666159108,57.7263578308751,57.3913249618802,56.767627381626,56.161811476254,55.6593120522031,55.3013534440317,54.9645752592122,55.2429433710802,53.7690690868247,54.6743640422864,54.0002896370844,53.6383844388404,53.1836456389197,52.6725378548855,52.3725430270771,52.0324372323567,51.4431365311419,51.292708422222,50.9599408186535,54.4043465742424
LIE,,,,,,,,,,,,,,,,,,,,,,,,
LKA,36.331,36.077,35.831,35.59,35.35,35.111,34.876,34.644,34.415,34.191,33.965,33.946,32.649,33.869,33.211,35.33,35.252,36.094,33.105,34.051,31.663,31.329,31.605,29.6
LMC,40.195406641894,40.2929435877159,40.2345389268956,40.318489140093,40.4074778056578,40.549044829555,39.9587765413662,39.5039723467592,38.9099413773901,38.5621569848575,38.1510893489033,37.6820561890363,37.2066680265132,37.1740319206297,37.1782201627067,37.2243241242405,37.1478079569643,37.0787912081602,37.0017313377425,37.0198929089145,36.3029487988934,37.5553474049098,38.8059351019105,39.9028325922923
LMY,50.7041325542432,50.5424433218129,50.3314459674648,50.2343599466421,50.0914811456213,49.9948496946765,49.5619736396459,49.3363658929403,48.8677946065773,48.584127373261,48.1532686780566,47.8889484106272,47.5175651053544,47.3196314079881,47.1217340392834,47.0938367753143,46.9595935402636,46.8312292801083,46.7101018597699,46.6588336733352,45.2437864088649,46.3355725822712,46.7434940029049,47.5473157371202
LSO,66.709,66.021,65.325,64.622,63.912,63.198,62.474,61.747,61.017,60.28,59.537,58.789,58.036,57.277,55.91,54.532,53.146,51.753,50.356,48.958,48.489,48.252,48.441,48.426
LTE,62.3876604607,62.1837614884813,62.0538950731844,61.8118540779718,61.6324132830911,61.5212717049582,61.250680653179,61.0354149221862,60.8120804251952,60.6447183313058,60.2626629832196,60.2587278130061,60.01363731877,59.7396071306405,59.6275862790844,59.5375468208775,59.3306608494078,59.1368404834431,58.9227607491681,58.7099540739722,56.9949747694025,58.1622540326634,57.7638224294629,57.7811037929159
LTU,54.916,53.333,52.171,54.789,51.337,50.639,50.075,50.067,50.469,52.019,52.31,52.699,53.2,52.927,53.871,54.428,55.606,55.821,56.494,57.226,57.363,57.369,58.035,57.914
LUX,41.485,41.579,42.78,42.877,44.598,45.66,46.144,46.658,47.181,49.05,48.847,49.499,51.173,51.459,52.214,54.247,53.625,54.011,54.798,54.933,55.927,56.929,56.998,57.196
LVA,48.977,49.936,51.07,50.516,50.405,50.386,51.945,52.909,54.841,54.357,53.73,52.909,54.088,53.773,53.301,54.029,54.863,55.064,55.639,55.474,55.844,54.167,55.299,55.436
MAC,56.452,56.389,56.3,53.53,54.973,57.006,58.923,62.641,63.874,64.736,64.435,65.77,65.318,65.994,66.331,66.133,65.602,64.912,64.995,64.713,63.655,64.072,60.026,62.631
MAF,,,,,,,,,,,,,,,,,,,,,,,,
MAR,24.934,25.365,24.788,25.041,25.293,25.54,25.784,26.029,26.278,25.909,25.546,25.118,24.358,24.718,24.779,24.362,23.275,22.45,22.23,21.999,20.688,20.697,19.584,19.671
MCO,,,,,,,,,,,,,,,,,,,,,,,,
MDA,56.428,54.803,54.827,56.09,54.583,55.022,57.263,58.868,59.244,59.929,62.695,64.365,65.277,65.586,69.207,69.413,68.93,67.43,66.419,68.337,68.085,70.665,71.543,70.064
MDG,83.936,83.976,84.029,84.064,84.094,84.114,84.104,84.08,84.04,83.983,83.908,83.812,83.696,83.566,83.414,83.249,83.137,83.044,82.971,82.916,82.152,82.807,82.83,82.866
MDV,37.037,37.045,37.054,37.061,37.065,37.066,36.958,36.73,36.495,36.285,36.624,36.983,37.361,37.756,38.163,38.573,38.986,39.781,40.382,40.76,37.104,37.995,40.171,40.311
MEA,17.845779614534,17.9360351009801,17.681395096538,18.1803311220953,18.6754814294737,19.1377315938037,19.3763891253489,19.6894553730983,19.3164932927168,19.9446783362503,20.2490366235469,20.064185586662,20.3108734459906,20.3406954892715,20.5223107693239,21.0850188228097,21.2291491100509,20.784490192352,19.9759665959993,20.0458350911069,19.2557433194363,19.5883594650344,19.2038883925233,19.7801593904483
MEX,38.866,38.229,38.314,38.975,40.098,41.15,42.334,42.718,42.568,43.08,42.946,43.413,44.48,44.48,43.55,43.928,43.988,43.627,44.134,45.573,41.704,44.615,46.004,47.317
MHL,,,,,,,,,,,,,,,,,,,,,,,,
MIC,50.2197296378313,50.0564715760721,49.8457921016583,49.7567076444889,49.6188884602303,49.5325719398617,49.1060391772666,48.8984190738626,48.4262739029819,48.1416561897444,47.6984436010821,47.3912045481933,47.0893671485552,46.8110846481849,46.6417432344875,46.6320133729633,46.5140198601427,46.4060862376462,46.2903297797767,46.2525362391608,44.7659506145011,45.9463482491274,46.403173081165,47.030677530776
MKD,40.873,41.163,41.436,42.44,42.49,42.567,41.555,42.73,42.32,42.205,40.714,42.815,42.408,43.551,42.995,42.307,41.114,41.241,41.277,42.856,41.861,40.931,42.206,42.158
MLI,60.512,60.534,60.552,60.559,60.555,60.536,60.508,60.478,60.442,60.4,60.35,60.296,60.22,60.158,60.137,61.216,59.554,57.877,55.62,53.387,50.63,52.981,53.009,53.06
MLT,29.754,29.365,30.571,30.112,27.775,29.883,30.178,32.084,33.129,33.577,34.347,35.559,38.681,40.724,42.259,43.02,44.653,46.159,48.214,49.326,51.25,52.216,55.307,55.525
MMR,56.2,55.683,55.154,54.568,54.022,53.504,53.031,52.622,52.281,51.95,51.675,51.532,51.346,51.14,50.951,50.799,49.229,47.659,48.438,46.289,44.726,41.042,41.071,41.051
MNA,17.0141287909588,17.1127562630029,16.8445309043941,17.3436480240947,17.851430196945,18.3126427545505,18.5293508879687,18.8375957171312,18.4109132907897,19.0444395751903,19.2926786115311,19.0271325783323,19.1930276875326,19.188501970048,19.3140787898556,19.832171788223,19.9015710635288,19.5012053950759,18.5420905376257,18.4953207554151,17.4525668795672,17.7364285995513,17.2068372743102,17.7826678754986
MNE,42.421,42.402,42.276,42.081,41.87,41.711,41.638,41.693,41.828,41.62,41.589,41.589,42.801,42.866,45.008,46.123,45.699,45.296,45.52,46.888,43.343,41.433,48.489,51.777
MNG,53.834,53.93,53.967,53.946,53.878,53.887,53.928,54.032,53.369,53.541,53.202,53.903,53.787,53.647,53.531,53.429,52.092,52.687,51.717,57.902,56.048,53.158,54.629,52.467
MNP,,,,,,,,,,,,,,,,,,,,,,,,
MOZ,87.427,87.558,87.691,87.825,87.166,86.481,85.772,85.036,84.273,83.482,82.665,81.819,80.944,80.04,79.107,78.143,78.041,77.942,77.84,77.735,76.87,76.785,77.198,77.269
MRT,28.317,28.228,28.159,28.086,28.011,27.934,27.854,27.77,27.68,27.589,27.505,27.427,27.353,27.139,26.909,26.679,26.447,26.215,26.234,26.263,25.873,26.069,26.05,26.198
MUS,38.661,36.231,37.844,41.132,39.769,41.199,41.482,40.492,41.439,41.912,43.465,42.612,43.028,44.956,45.217,46.371,45.414,45.716,45.604,46.423,43.111,40.56,42.521,47.644
MWI,78.106,78.122,78.133,78.146,78.157,78.159,76.752,75.281,73.747,72.149,70.49,68.774,67.192,65.572,63.917,62.23,60.514,58.774,58.895,59.03,63.125,58.786,58.75,58.644
MYS,40.593,41.052,41.471,41.868,42.255,42.637,43.027,43.436,43.866,44.31,44.792,45.295,47.029,48.76,50.475,50.83,50.986,51.285,51.625,51.783,51.371,51.371,51.597,51.592
NAC,58.6806935932721,58.5670668477628,58.533833492237,58.5229421096571,58.2838759830355,58.3402302099645,58.4776774086978,58.4621187972776,58.6623801959501,58.4481635061753,57.9646789522129,57.4782081290617,57.2915889539626,56.9292022571024,56.7186003662731,56.461722458007,56.5943264847355,56.8852455392197,56.945456268338,57.3346190905226,56.0969854796262,56.1680354650022,56.5724967949275,57.1015163773439
NAM,47.264,47.749,48.233,48.717,49.202,49.688,50.174,50.661,51.149,51.637,52.125,52.612,53.096,58.57,57.204,56.351,55.497,55.436,55.388,55.322,52.45,53.111,54.735,54.828
NCL,59.295,59.158,59.079,59.06,59.031,59.013,59.12,59.166,59.019,58.928,59.168,59.239,59.156,59.065,58.874,57.768,56.622,55.488,54.368,53.254,53.377,52.953,52.586,52.221
NER,69.009,68.958,68.906,68.852,68.798,68.746,68.697,68.652,68.612,68.578,68.551,68.533,66.419,64.262,62.074,61.705,61.334,60.962,60.589,60.214,63.669,67.799,72.608,72.501
NGA,77.553,77.4,77.38,77.134,76.993,76.755,76.729,76.71,76.59,76.452,76.357,75.937,75.916,75.766,75.662,75.759,75.887,76.156,76.355,76.597,74.894,75.893,76.927,80.693
NIC,35.885,36.72,37.562,38.409,39.261,40.118,40.979,41.843,42.708,43.576,44.445,45.316,46.189,47.063,47.937,48.342,48.728,49.116,48.852,48.634,48.119,49.078,50.144,50.728
NLD,58.952,59.537,59.843,59.915,59.759,59.523,59.755,59.953,60.233,60.136,60.276,60.534,61.08,61.038,60.271,60.755,60.816,60.887,61.139,61.656,61.776,61.894,62.565,63.079
NOR,61.266,61.699,62.262,62.565,63.079,63.318,64.012,64.497,64.55,64.319,63.773,63.764,63.542,63.593,63.176,63.205,62.972,62.638,62.625,62.64,62.481,62.182,62.358,62.371
NPL,21.283,21.497,21.723,21.954,22.211,22.502,22.826,23.184,23.611,24.107,24.652,25.22,25.73,26.161,26.575,27.006,27.346,27.53,27.628,27.537,27.209,27.256,27.24,27.302
NRU,,,,,,,,,,,,,,,,,,,,,,,,
NZL,56.721,57.605,58.305,58.614,59.107,60.095,60.655,61.148,61.45,61.519,61.387,61.873,62.023,61.923,62.829,62.855,64.048,64.928,65.221,65.314,64.693,65.596,66.366,66.922
OED,49.381655817563,49.363948780277,49.4857743775918,49.6357078545297,49.6147230679924,49.8874424082202,50.2146764243636,50.3177641498912,50.5463963904041,50.8028014912121,50.8159043947169,50.9160417127815,51.1988080389388,51.2967490233145,51.2710145290307,51.3684488000378,51.6219086453202,51.8971637440426,52.1687073380081,52.565010533522,51.2721210114584,51.9819303117393,52.661545996583,53.2457701770043
OMN,23.917,23.987,24.261,24.597,24.75,24.907,25.111,25.373,25.695,26.081,26.53,27.045,27.61,28.245,28.935,29.621,30.269,30.484,30.37,30.19,29.074,29.564,30.795,30.321
OSS,45.2003492433775,45.1287557190011,45.3961089539321,46.2737759897232,46.1618818069205,46.5423349529559,46.9686727479546,46.9925225894421,47.3280221878897,47.4397892740432,47.8373223211462,47.7638324238647,48.0201264708804,48.1044108713912,48.195512529116,48.8277737174907,48.8576442890041,49.2448093744498,49.4388064038304,50.1267476289484,49.1818850081748,49.3857960198844,50.1309929885938,51.5329567666623
PAK,16.13,16.17,16.224,16.995,17.777,18.348,18.947,19.308,19.851,20.98,22.036,22.228,22.508,22.79,22.987,23.983,23.162,22.358,21.571,23.241,23.406,24.365,24.027,23.997
PAN,44.853,45.634,46.414,46.927,47.255,47.954,46.8,47.576,48.586,47.013,48.359,46.159,48.671,50.208,50.661,51.485,52.16,52.246,54.501,56.345,55.932,48.894,52.137,52.694
PER,53.528,58.578,60.045,61.491,62.915,64.315,67.54,70.087,70.266,70.561,72.014,71.205,70.91,70.2,69.302,67.657,67.721,69.388,69.85,70.044,59.864,64.845,66.725,65.083
PHL,47.176,47.148,47.108,47.034,46.711,47.449,47.6,47.605,47.063,47.866,48.119,48.935,48.459,48.338,49.121,48.67,48.19,45.045,45.532,46.566,42.675,44.203,50.38,50.445
PLW,,,,,,,,,,,,,,,,,,,,,,,,
PNG,47.944,48.083,48.224,48.272,48.297,48.178,48.095,47.923,48.056,47.919,47.67,48.065,48.328,48.617,48.584,48.779,49.008,49.297,49.709,49.962,49.809,50.567,50.645,50.644
POL,48.629,49.542,48.686,48.245,47.719,47.653,46.917,46.706,47.117,47.813,48.879,48.967,49.354,49.227,49.534,49.527,49.64,49.757,49.857,49.596,49.333,50.969,51.594,52.209
PRE,64.5828928978385,64.5983804609044,64.6024347358873,64.5201995870057,64.4933129453599,64.4189556413163,64.2989395937485,64.1872817762813,63.8832714138801,63.5580833669748,63.2736969005981,63.2334590805413,62.3241913171479,62.6333640283228,62.0388675422667,61.7652465922341,61.5613753890598,60.9006029809026,60.5889957100086,60.3076782755312,59.425344537666,59.8792763531129,59.9165601365718,63.1102710633554
PRI,34.734,35.359,35.99,36.728,36.235,37.572,37.921,37.02,36.166,34.884,33.856,33.028,32.758,32.484,31.866,31.876,32.231,32.498,32.997,33.291,33.797,35.6,35.916,36.29
PRK,77.922,77.808,77.782,77.736,77.685,77.572,77.626,77.684,77.59,77.635,77.663,77.646,77.61,77.582,77.556,77.608,77.484,77.622,77.788,77.787,76.306,76.483,77.693,77.724
PRT,52.728,53.478,54.08,54.783,54.28,55.269,55.517,55.919,55.787,55.59,55.835,54.621,54.674,54.157,53.777,53.7,53.484,54.028,54.337,54.511,53.157,52.886,53.799,54.719
PRY,51.653,51.598,51.724,51.514,56.882,55.653,50.993,54.017,53.755,55.126,53.036,54.453,59.861,57.676,54.388,54.827,56.466,57.843,59.414,60.256,57.105,59.85,58.986,58.994
PSE,12.402,10.04,10.064,12.504,12.864,12.78,13.495,15.021,14.706,14.582,14.033,15.625,16.169,15.829,16.563,17.998,17.435,17.665,17.665,18.383,16.431,17.545,18.934,
PSS,52.2747273351442,52.3094874101084,52.3088771868623,52.1769282592158,52.0426254531083,51.4861468507068,52.4575568673532,53.0729424418451,53.6294446948372,54.197088224969,54.7130043399,55.7291814946895,55.2139280525601,54.7026860643139,54.2577274025102,53.7542561061035,53.2376363399564,53.4464745127394,53.4872020772252,53.4991348089838,52.1253967670527,52.6959029087015,53.3098636591013,53.5905746382427
PST,51.4632065487362,51.4916011758442,51.6843386139395,51.8367513282567,51.9822518002808,52.2750591412389,52.6174325145235,52.7386328892374,52.9430624614817,52.9783192348047,52.8330939236033,52.8074605837274,52.9358806516141,53.0267415033892,53.1273780457013,53.1520460294586,53.4011321771887,53.7080621741849,53.9612533614026,54.3248552799796,53.5465659460815,53.8639869374671,54.6159819761274,55.0750333965184
PYF,47.885,47.752,47.599,47.519,47.415,47.357,47.324,47.265,47.595,47.969,48.356,48.745,49.132,49.052,48.979,49.0,49.079,49.33,49.253,49.219,48.347,48.267,47.85,47.404
QAT,48.853,49.246,49.253,49.618,47.904,47.704,47.426,49.405,49.177,49.08,50.779,52.429,52.914,53.302,54.571,55.988,56.79,57.571,58.369,59.083,59.452,60.582,63.54,63.308
ROU,42.361,42.249,42.143,42.148,42.091,42.069,42.202,42.447,42.91,38.904,41.865,41.865,41.763,41.706,42.049,42.473,42.123,43.175,42.932,42.958,42.742,42.751,43.223,42.172
RUS,54.659,53.51,54.308,54.12,54.719,55.155,55.583,56.152,56.159,56.352,56.019,56.336,56.272,55.985,55.858,55.555,55.684,55.335,55.416,54.794,54.63,55.132,55.3,55.363
RWA,53.087,53.416,53.674,53.836,53.935,53.997,54.026,54.039,54.053,54.086,54.141,54.209,54.283,54.357,54.433,54.516,54.612,54.723,54.156,51.87,56.652,52.58,54.695,58.044
SAS,33.5859456199624,33.6813652713437,33.7671605392341,33.8527400465169,33.9412344188754,34.0358691281729,32.8848724681128,31.9222066677018,30.9921741564104,30.0971109730211,29.2342610765716,28.4455398331414,27.6560373998138,27.522545031389,27.4599401227785,27.4756377114581,27.4711295642255,27.8235308429986,27.9107474591322,28.0294677656731,27.6197298280335,29.2936701917322,30.8503437167079,32.0489509421954
SAU,16.389,15.941,15.793,16.169,16.576,17.022,17.519,17.042,16.739,16.418,17.628,18.954,19.758,19.817,20.278,21.635,22.866,19.857,21.824,24.365,29.308,34.218,34.098,34.278
SDN,27.819,27.532,27.245,26.959,26.68,26.411,26.141,25.869,25.6,26.503,27.404,28.33,27.022,25.747,24.517,23.304,22.088,20.9,19.704,18.466,17.008,15.807,14.452,
SEN,33.026,33.107,33.193,33.262,33.303,33.34,33.369,33.422,33.482,33.551,33.627,33.711,33.801,33.886,33.969,34.06,38.726,35.424,36.353,37.308,37.075,37.707,37.706,37.767
SGP,52.122,52.55,51.499,52.266,52.641,53.705,55.06,53.634,56.089,55.628,57.128,57.787,58.543,58.607,59.811,61.305,61.313,60.807,60.889,61.822,61.72,64.409,62.921,63.299
SLB,82.44,82.954,83.222,83.085,82.907,82.752,82.736,82.747,82.666,82.721,82.53,82.425,82.491,82.443,82.526,82.568,82.447,82.401,82.361,82.367,81.602,82.26,82.309,82.327
SLE,64.695,64.676,64.665,64.664,65.919,65.002,64.072,63.133,62.183,61.223,60.255,59.278,58.294,57.303,56.307,55.091,53.87,52.644,51.415,51.584,51.093,51.472,51.605,51.774
SLV,45.422,45.176,44.943,46.281,44.499,45.218,45.915,46.1,46.076,46.029,45.966,45.533,46.449,47.404,46.055,45.09,45.811,45.154,44.928,45.983,43.207,45.217,46.028,48.521
SMR,,,,,,,,,,,,,,,,,,,,,,,,
SOM,21.081,21.041,21.0,20.954,20.89,20.79,20.661,20.567,20.55,20.574,20.612,20.733,20.857,20.893,20.918,20.942,20.967,21.007,21.056,21.094,20.892,20.933,20.666,20.707
SRB,46.698,46.332,45.982,45.673,45.273,44.923,44.645,45.258,44.747,43.136,41.802,41.669,42.013,43.063,43.683,43.295,45.271,46.067,46.379,46.746,46.159,49.002,50.142,51.414
SSA,66.1898953406153,66.2058801191687,66.2861417332865,66.3039641936498,66.3188032755203,66.2998311707144,66.1972488111255,66.0349796502462,65.7812646383212,65.4075768499166,65.0485653845706,65.1000698204404,64.3669752736917,64.7549727976031,64.175762677424,63.9668550593373,63.7153250037166,63.2735239434551,62.9802383351315,62.7125253836588,61.6198288605622,62.1377095962314,62.6144798335407,65.9834635926816
SSD,71.173,71.154,71.091,71.028,71.058,71.167,71.3,71.448,71.594,71.716,71.903,72.098,72.18,72.196,71.999,71.806,71.609,71.24,71.286,71.68,70.996,71.344,70.628,70.393
SSF,66.968642445534,66.980631667853,67.0537023534977,67.0720637226553,67.0888320935276,67.0759193060482,66.9824643830668,66.8363152319463,66.6082206337848,66.2725580792539,65.9516573902676,66.0025621916075,65.3467517291197,65.7009837508487,64.9836783912335,64.596291642113,64.1673288530477,63.5644481434374,63.0914640685788,62.6388905437086,61.3785809186593,61.6602889856901,62.1326606535539,65.1283639759208
SST,46.3394225038784,46.353025921415,46.5891061250375,47.4100078937251,47.5956172776066,48.0159299094936,48.5066125618892,48.5274625077113,48.9361478702532,48.9955886496722,49.3076100059994,49.3407620754247,49.6767334219857,49.7544299917475,49.8594795998631,50.1428725096958,50.1916377306901,50.4736490269545,50.7218655713212,51.0945323476456,49.3873225613268,49.8367135542283,50.777787878206,51.8144816145897
STP,22.502,22.612,22.652,22.691,22.721,22.742,22.752,22.746,22.73,22.719,22.727,22.754,22.752,22.728,22.731,22.768,22.844,22.955,23.092,23.25,22.649,22.936,23.014,22.874
SUR,33.397,34.072,34.754,35.444,36.154,36.884,37.618,38.356,39.098,39.844,40.594,41.347,42.103,42.86,43.618,44.378,45.14,45.334,45.863,46.005,42.93,43.581,43.957,44.348
SVK,52.588,52.965,52.531,52.907,52.467,51.177,50.548,50.327,50.757,50.051,50.554,50.155,50.648,50.988,52.008,51.931,52.511,52.626,52.241,52.171,51.796,54.62,55.692,55.698
SVN,51.294,51.133,51.932,50.437,52.836,52.815,53.218,53.514,53.631,53.514,53.142,52.351,52.321,51.929,52.531,52.275,52.113,53.539,53.719,53.382,53.105,53.467,53.875,52.986
SWE,58.104,58.578,58.716,58.793,58.466,59.116,59.231,59.706,59.836,59.378,58.976,59.526,59.719,60.127,60.279,60.562,60.691,61.036,61.259,61.315,60.587,60.704,61.05,61.685
SWZ,44.424,44.669,44.888,45.077,45.238,45.375,45.494,45.632,45.803,45.98,46.144,46.29,46.414,46.531,46.666,46.819,46.965,47.016,47.083,47.158,46.452,46.901,47.227,48.24
SXM,,,,,,,,,,,,,,,,,,,,,,,,
SYC,,,,,,,,,,,,,,,,,,,,,,,,
SYR,20.887,20.241,19.616,19.01,17.747,16.538,15.388,14.214,13.703,13.21,12.979,14.934,13.499,13.03,12.812,12.729,12.802,12.939,13.137,13.39,12.668,12.824,13.02,12.879
TCA,,,,,,,,,,,,,,,,,,,,,,,,
TCD,60.201,59.573,58.941,58.304,57.662,57.019,56.375,55.729,55.079,54.426,53.772,53.116,52.458,51.799,51.14,50.481,49.821,49.161,48.501,48.531,48.067,48.119,47.933,47.817
TEA,64.635648766609,64.1719832682202,63.5967481529893,63.2236856131019,62.8033406876656,62.4064071475605,62.0618834948917,62.2140080632768,61.9327725733045,61.6705822265312,61.4099091140494,61.506417082503,61.2746918586671,60.8511442161656,60.7314047971756,60.5262891007353,60.2445805152794,59.8883930271885,59.830264932121,59.6459196652863,58.1044101873648,58.9332051812537,58.6193724805824,58.802254080471
TEC,48.9573970810384,48.6034980990733,48.815701559333,48.3933752163227,47.9479091610763,47.9162770149788,47.9506286120065,48.0515656502367,48.1188301881316,48.1720016259006,48.4140208105844,48.5934786599155,48.5679954403695,48.4886145343103,48.3804172710014,48.4093987015069,48.4962815144151,48.5063188275407,48.5124646499709,48.237366823499,47.3108079941856,47.8884648573847,48.7064271200428,48.8726510078119
TGO,55.185,55.256,55.31,55.362,55.419,55.468,55.527,55.578,55.606,55.615,55.598,55.58,55.575,55.585,55.609,55.644,55.686,55.738,55.799,55.867,55.335,55.664,56.238,56.49
THA,65.596,65.255,65.107,64.99,64.808,65.23,64.281,64.808,64.867,64.659,63.685,65.806,65.071,61.78,61.447,61.068,60.17,59.351,59.569,58.9,59.106,59.18,59.576,60.311
TJK,44.394,44.397,44.4,44.404,41.766,39.16,36.597,34.093,31.66,29.308,28.405,27.511,26.606,25.694,24.795,23.907,23.032,22.25,21.43,20.681,20.487,20.592,21.395,21.674
TKM,49.859,49.482,49.775,49.565,49.076,47.445,46.201,45.04,43.601,43.16,42.451,41.364,40.686,40.151,39.682,39.461,39.273,39.089,38.933,38.788,37.61,37.839,38.385,38.228
TLA,48.0120986955371,48.5201771310158,48.9687771395155,49.4806764014149,50.192956786501,50.8478080829509,51.1643010292695,51.1999141560245,51.1798198572244,51.7506316452833,51.264174878158,50.8732202573454,51.195532130806,51.0035913174152,50.7077467269552,51.0509770433769,51.2039985042131,51.4873411609278,51.8380702465177,52.331706135581,48.1513843569585,50.5840329987644,51.4313365004695,51.5049005114493
TLS,64.178,63.704,64.124,64.217,64.064,63.842,64.044,63.514,62.926,62.385,61.928,61.703,61.579,61.507,61.365,61.298,61.26,61.479,61.62,61.034,60.457,61.212,61.166,60.774
TMN,17.0399410007306,17.1523878837007,16.8826883214469,17.3710496106741,17.8798531853104,18.3444081080548,18.5584941084924,18.8598958402592,18.4328302650604,19.0711497787007,19.3245012311235,19.0479346657826,19.2117275237815,19.2095255494993,19.3315044477734,19.8439233193227,19.9175331429971,19.5131426340615,18.5478328076139,18.4960609602807,17.4593515315983,17.7377104892209,17.1951837122223,17.7826678754986
TON,44.526,44.412,44.316,44.235,44.146,44.037,43.908,43.814,43.767,43.725,43.634,43.521,43.429,43.319,43.21,43.081,42.935,42.774,42.606,42.647,42.28,42.596,42.617,42.617
TSA,33.5859456199624,33.6813652713437,33.7671605392341,33.8527400465169,33.9412344188754,34.0358691281729,32.8848724681128,31.9222066677018,30.9921741564104,30.0971109730211,29.2342610765716,28.4455398331414,27.6560373998138,27.522545031389,27.4599401227785,27.4756377114581,27.4711295642255,27.8235308429986,27.9107474591322,28.0294677656731,27.6197298280335,29.2936701917322,30.8503437167079,32.0489509421954
TSS,66.9686424455341,66.9806316678531,67.0537023534977,67.0720637226553,67.0888320935276,67.0759193060482,66.9824643830669,66.8363152319463,66.6082206337848,66.2725580792539,65.9516573902676,66.0025621916075,65.3467517291197,65.7009837508487,64.9836783912335,64.596291642113,64.1673288530477,63.5644481434374,63.0914640685788,62.6388905437086,61.3785809186593,61.6602889856901,62.1326606535539,65.1283639759208
TTO,48.401,48.845,49.276,51.195,53.108,55.019,55.396,53.906,54.572,53.0,52.201,51.11,52.886,52.957,53.39,51.964,51.922,51.621,51.338,51.033,49.325,48.879,50.02,50.031
TUN,23.684,23.663,23.654,23.655,23.669,23.699,24.489,24.584,24.815,24.773,24.792,24.765,25.576,25.447,25.733,26.072,26.647,26.477,27.383,28.272,26.274,26.698,27.519,26.781
TUR,26.509,27.088,27.864,26.545,23.139,23.114,23.426,23.449,24.331,25.868,27.445,28.639,29.361,30.644,30.171,31.416,32.38,33.533,34.115,34.289,30.83,32.774,35.018,35.764
TUV,,,,,,,,,,,,,,,,,,,,,,,,
TZA,84.345,84.35,84.939,85.51,86.064,86.6,87.119,86.361,85.572,84.751,83.896,83.001,82.069,81.098,80.089,80.123,80.164,80.202,80.234,80.265,79.344,80.425,80.273,80.33
UGA,71.247,71.229,71.189,71.137,71.085,71.027,70.964,70.902,70.836,70.765,70.697,77.925,65.505,81.909,75.641,73.722,71.587,69.217,71.687,73.85,73.976,74.672,75.364,75.445
UKR,52.921,52.864,52.808,52.752,52.697,52.646,52.595,52.697,52.403,52.109,51.816,51.523,51.23,50.937,50.648,50.36,50.072,49.785,49.498,49.214,48.1,47.738,,
UMC,57.8337689986352,57.5279610774705,57.2483001029752,57.0727442088939,56.8090878484766,56.5920642186981,56.3548321711987,56.4265960520533,56.1368322794597,55.9909439945665,55.6128815574104,55.5316555013049,55.464168849347,55.062870501385,54.8349639569297,54.8653404973654,54.7997197137984,54.7448335265151,54.6782535402675,54.671881825819,52.5620509578467,53.7510917124534,53.665795173469,53.8980244703991
URY,48.986,51.226,49.597,49.312,49.088,49.866,51.624,53.467,54.437,55.16,54.909,56.842,56.492,55.333,56.899,56.3,56.341,56.059,55.954,56.002,54.231,56.034,55.656,56.518
USA,58.682,58.521,58.351,58.224,57.944,58.04,58.161,58.086,58.293,58.054,57.516,56.998,56.778,56.362,56.197,55.938,56.095,56.395,56.471,56.868,55.704,55.632,56.029,56.602
UZB,39.638,39.498,39.431,39.187,39.056,38.789,38.555,38.426,38.415,38.895,38.961,38.883,39.101,39.191,39.275,39.447,39.57,39.652,39.739,39.89,39.097,39.587,41.1,41.24
VCT,47.946,48.262,48.896,49.651,50.231,50.719,51.569,52.159,52.531,52.778,52.809,53.128,53.515,53.95,54.296,54.737,55.3,55.748,56.362,56.844,56.109,56.463,57.595,58.568
